"Notes"	"Cause of death"	"Cause of death Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Classical"	"000.0"	"1968"	"1968"	0	0	0.0 (Unreliable)
	"Classical"	"000.0"	"1969"	"1969"	0	0	0.0 (Unreliable)
	"Classical"	"000.0"	"1970"	"1970"	0	0	0.0 (Unreliable)
	"Classical"	"000.0"	"1971"	"1971"	0	0	0.0 (Unreliable)
	"Classical"	"000.0"	"1972"	"1972"	0	0	0.0 (Unreliable)
	"Classical"	"000.0"	"1973"	"1973"	0	0	0.0 (Unreliable)
	"Classical"	"000.0"	"1974"	"1974"	0	0	0.0 (Unreliable)
	"Classical"	"000.0"	"1975"	"1975"	0	0	0.0 (Unreliable)
	"Classical"	"000.0"	"1976"	"1976"	0	0	0.0 (Unreliable)
	"Classical"	"000.0"	"1977"	"1977"	0	0	0.0 (Unreliable)
	"Classical"	"000.0"	"1978"	"1978"	0	0	0.0 (Unreliable)
"Total"	"Classical"	"000.0"			0	2320363006	0.0 (Unreliable)
	"El Tor"	"000.1"	"1968"	"1968"	0	0	0.0 (Unreliable)
	"El Tor"	"000.1"	"1969"	"1969"	0	0	0.0 (Unreliable)
	"El Tor"	"000.1"	"1970"	"1970"	0	0	0.0 (Unreliable)
	"El Tor"	"000.1"	"1971"	"1971"	0	0	0.0 (Unreliable)
	"El Tor"	"000.1"	"1972"	"1972"	0	0	0.0 (Unreliable)
	"El Tor"	"000.1"	"1973"	"1973"	0	0	0.0 (Unreliable)
	"El Tor"	"000.1"	"1974"	"1974"	0	0	0.0 (Unreliable)
	"El Tor"	"000.1"	"1975"	"1975"	0	0	0.0 (Unreliable)
	"El Tor"	"000.1"	"1976"	"1976"	0	0	0.0 (Unreliable)
	"El Tor"	"000.1"	"1977"	"1977"	0	0	0.0 (Unreliable)
	"El Tor"	"000.1"	"1978"	"1978"	0	0	0.0 (Unreliable)
"Total"	"El Tor"	"000.1"			0	2320363006	0.0 (Unreliable)
	"Unspecified"	"000.9"	"1968"	"1968"	0	0	0.0 (Unreliable)
	"Unspecified"	"000.9"	"1969"	"1969"	0	0	0.0 (Unreliable)
	"Unspecified"	"000.9"	"1970"	"1970"	0	0	0.0 (Unreliable)
	"Unspecified"	"000.9"	"1971"	"1971"	0	0	0.0 (Unreliable)
	"Unspecified"	"000.9"	"1972"	"1972"	0	0	0.0 (Unreliable)
	"Unspecified"	"000.9"	"1973"	"1973"	0	0	0.0 (Unreliable)
	"Unspecified"	"000.9"	"1974"	"1974"	0	0	0.0 (Unreliable)
	"Unspecified"	"000.9"	"1975"	"1975"	0	0	0.0 (Unreliable)
	"Unspecified"	"000.9"	"1976"	"1976"	0	0	0.0 (Unreliable)
	"Unspecified"	"000.9"	"1977"	"1977"	0	0	0.0 (Unreliable)
	"Unspecified"	"000.9"	"1978"	"1978"	0	0	0.0 (Unreliable)
"Total"	"Unspecified"	"000.9"			0	2320363006	0.0 (Unreliable)
	"Typhoid fever"	"001"	"1968"	"1968"	7	199533564	0.0 (Unreliable)
	"Typhoid fever"	"001"	"1969"	"1969"	4	201568206	0.0 (Unreliable)
	"Typhoid fever"	"001"	"1970"	"1970"	6	203458035	0.0 (Unreliable)
	"Typhoid fever"	"001"	"1971"	"1971"	4	206782970	0.0 (Unreliable)
	"Typhoid fever"	"001"	"1972"	"1972"	8	209237411	0.0 (Unreliable)
	"Typhoid fever"	"001"	"1973"	"1973"	7	211361965	0.0 (Unreliable)
	"Typhoid fever"	"001"	"1974"	"1974"	3	213436958	0.0 (Unreliable)
	"Typhoid fever"	"001"	"1975"	"1975"	3	215457198	0.0 (Unreliable)
	"Typhoid fever"	"001"	"1976"	"1976"	2	217615788	0.0 (Unreliable)
	"Typhoid fever"	"001"	"1977"	"1977"	3	219808632	0.0 (Unreliable)
	"Typhoid fever"	"001"	"1978"	"1978"	2	222102279	0.0 (Unreliable)
"Total"	"Typhoid fever"	"001"			49	2320363006	0.0
	"Paratyphoid fever A"	"002.0"	"1968"	"1968"	0	0	0.0 (Unreliable)
	"Paratyphoid fever A"	"002.0"	"1969"	"1969"	0	0	0.0 (Unreliable)
	"Paratyphoid fever A"	"002.0"	"1970"	"1970"	0	0	0.0 (Unreliable)
	"Paratyphoid fever A"	"002.0"	"1971"	"1971"	0	0	0.0 (Unreliable)
	"Paratyphoid fever A"	"002.0"	"1972"	"1972"	0	0	0.0 (Unreliable)
	"Paratyphoid fever A"	"002.0"	"1973"	"1973"	0	0	0.0 (Unreliable)
	"Paratyphoid fever A"	"002.0"	"1974"	"1974"	0	0	0.0 (Unreliable)
	"Paratyphoid fever A"	"002.0"	"1975"	"1975"	0	0	0.0 (Unreliable)
	"Paratyphoid fever A"	"002.0"	"1976"	"1976"	0	0	0.0 (Unreliable)
	"Paratyphoid fever A"	"002.0"	"1977"	"1977"	0	0	0.0 (Unreliable)
	"Paratyphoid fever A"	"002.0"	"1978"	"1978"	0	0	0.0 (Unreliable)
"Total"	"Paratyphoid fever A"	"002.0"			0	2320363006	0.0 (Unreliable)
	"Paratyphoid fever B"	"002.1"	"1968"	"1968"	4	199533564	0.0 (Unreliable)
	"Paratyphoid fever B"	"002.1"	"1969"	"1969"	1	201568206	0.0 (Unreliable)
	"Paratyphoid fever B"	"002.1"	"1970"	"1970"	0	0	0.0 (Unreliable)
	"Paratyphoid fever B"	"002.1"	"1971"	"1971"	0	0	0.0 (Unreliable)
	"Paratyphoid fever B"	"002.1"	"1972"	"1972"	0	0	0.0 (Unreliable)
	"Paratyphoid fever B"	"002.1"	"1973"	"1973"	0	0	0.0 (Unreliable)
	"Paratyphoid fever B"	"002.1"	"1974"	"1974"	0	0	0.0 (Unreliable)
	"Paratyphoid fever B"	"002.1"	"1975"	"1975"	1	215457198	0.0 (Unreliable)
	"Paratyphoid fever B"	"002.1"	"1976"	"1976"	0	0	0.0 (Unreliable)
	"Paratyphoid fever B"	"002.1"	"1977"	"1977"	0	0	0.0 (Unreliable)
	"Paratyphoid fever B"	"002.1"	"1978"	"1978"	0	0	0.0 (Unreliable)
"Total"	"Paratyphoid fever B"	"002.1"			6	2320363006	0.0 (Unreliable)
	"Paratyphoid fever C"	"002.2"	"1968"	"1968"	1	199533564	0.0 (Unreliable)
	"Paratyphoid fever C"	"002.2"	"1969"	"1969"	0	0	0.0 (Unreliable)
	"Paratyphoid fever C"	"002.2"	"1970"	"1970"	0	0	0.0 (Unreliable)
	"Paratyphoid fever C"	"002.2"	"1971"	"1971"	0	0	0.0 (Unreliable)
	"Paratyphoid fever C"	"002.2"	"1972"	"1972"	0	0	0.0 (Unreliable)
	"Paratyphoid fever C"	"002.2"	"1973"	"1973"	0	0	0.0 (Unreliable)
	"Paratyphoid fever C"	"002.2"	"1974"	"1974"	0	0	0.0 (Unreliable)
	"Paratyphoid fever C"	"002.2"	"1975"	"1975"	0	0	0.0 (Unreliable)
	"Paratyphoid fever C"	"002.2"	"1976"	"1976"	0	0	0.0 (Unreliable)
	"Paratyphoid fever C"	"002.2"	"1977"	"1977"	0	0	0.0 (Unreliable)
	"Paratyphoid fever C"	"002.2"	"1978"	"1978"	0	0	0.0 (Unreliable)
"Total"	"Paratyphoid fever C"	"002.2"			1	2320363006	0.0 (Unreliable)
	"Paratyphoid fever unspecified"	"002.9"	"1968"	"1968"	0	0	0.0 (Unreliable)
	"Paratyphoid fever unspecified"	"002.9"	"1969"	"1969"	0	0	0.0 (Unreliable)
	"Paratyphoid fever unspecified"	"002.9"	"1970"	"1970"	1	203458035	0.0 (Unreliable)
	"Paratyphoid fever unspecified"	"002.9"	"1971"	"1971"	1	206782970	0.0 (Unreliable)
	"Paratyphoid fever unspecified"	"002.9"	"1972"	"1972"	0	0	0.0 (Unreliable)
	"Paratyphoid fever unspecified"	"002.9"	"1973"	"1973"	1	211361965	0.0 (Unreliable)
	"Paratyphoid fever unspecified"	"002.9"	"1974"	"1974"	1	213436958	0.0 (Unreliable)
	"Paratyphoid fever unspecified"	"002.9"	"1975"	"1975"	1	215457198	0.0 (Unreliable)
	"Paratyphoid fever unspecified"	"002.9"	"1976"	"1976"	0	0	0.0 (Unreliable)
	"Paratyphoid fever unspecified"	"002.9"	"1977"	"1977"	0	0	0.0 (Unreliable)
	"Paratyphoid fever unspecified"	"002.9"	"1978"	"1978"	1	222102279	0.0 (Unreliable)
"Total"	"Paratyphoid fever unspecified"	"002.9"			6	2320363006	0.0 (Unreliable)
	"With food as vehicle of infection"	"003.0"	"1968"	"1968"	2	199533564	0.0 (Unreliable)
	"With food as vehicle of infection"	"003.0"	"1969"	"1969"	0	0	0.0 (Unreliable)
	"With food as vehicle of infection"	"003.0"	"1970"	"1970"	0	0	0.0 (Unreliable)
	"With food as vehicle of infection"	"003.0"	"1971"	"1971"	0	0	0.0 (Unreliable)
	"With food as vehicle of infection"	"003.0"	"1972"	"1972"	0	0	0.0 (Unreliable)
	"With food as vehicle of infection"	"003.0"	"1973"	"1973"	0	0	0.0 (Unreliable)
	"With food as vehicle of infection"	"003.0"	"1974"	"1974"	0	0	0.0 (Unreliable)
	"With food as vehicle of infection"	"003.0"	"1975"	"1975"	0	0	0.0 (Unreliable)
	"With food as vehicle of infection"	"003.0"	"1976"	"1976"	0	0	0.0 (Unreliable)
	"With food as vehicle of infection"	"003.0"	"1977"	"1977"	0	0	0.0 (Unreliable)
	"With food as vehicle of infection"	"003.0"	"1978"	"1978"	2	222102279	0.0 (Unreliable)
"Total"	"With food as vehicle of infection"	"003.0"			4	2320363006	0.0 (Unreliable)
	"Without mention of food as vehicle of infection"	"003.9"	"1968"	"1968"	63	199533564	0.0
	"Without mention of food as vehicle of infection"	"003.9"	"1969"	"1969"	81	201568206	0.0
	"Without mention of food as vehicle of infection"	"003.9"	"1970"	"1970"	80	203458035	0.0
	"Without mention of food as vehicle of infection"	"003.9"	"1971"	"1971"	80	206782970	0.0
	"Without mention of food as vehicle of infection"	"003.9"	"1972"	"1972"	68	209237411	0.0
	"Without mention of food as vehicle of infection"	"003.9"	"1973"	"1973"	75	211361965	0.0
	"Without mention of food as vehicle of infection"	"003.9"	"1974"	"1974"	58	213436958	0.0
	"Without mention of food as vehicle of infection"	"003.9"	"1975"	"1975"	65	215457198	0.0
	"Without mention of food as vehicle of infection"	"003.9"	"1976"	"1976"	61	217615788	0.0
	"Without mention of food as vehicle of infection"	"003.9"	"1977"	"1977"	73	219808632	0.0
	"Without mention of food as vehicle of infection"	"003.9"	"1978"	"1978"	76	222102279	0.0
"Total"	"Without mention of food as vehicle of infection"	"003.9"			780	2320363006	0.0
	"Shiga"	"004.0"	"1968"	"1968"	0	0	0.0 (Unreliable)
	"Shiga"	"004.0"	"1969"	"1969"	0	0	0.0 (Unreliable)
	"Shiga"	"004.0"	"1970"	"1970"	0	0	0.0 (Unreliable)
	"Shiga"	"004.0"	"1971"	"1971"	0	0	0.0 (Unreliable)
	"Shiga"	"004.0"	"1972"	"1972"	0	0	0.0 (Unreliable)
	"Shiga"	"004.0"	"1973"	"1973"	0	0	0.0 (Unreliable)
	"Shiga"	"004.0"	"1974"	"1974"	0	0	0.0 (Unreliable)
	"Shiga"	"004.0"	"1975"	"1975"	0	0	0.0 (Unreliable)
	"Shiga"	"004.0"	"1976"	"1976"	0	0	0.0 (Unreliable)
	"Shiga"	"004.0"	"1977"	"1977"	0	0	0.0 (Unreliable)
	"Shiga"	"004.0"	"1978"	"1978"	0	0	0.0 (Unreliable)
"Total"	"Shiga"	"004.0"			0	2320363006	0.0 (Unreliable)
	"Flexner"	"004.1"	"1968"	"1968"	3	199533564	0.0 (Unreliable)
	"Flexner"	"004.1"	"1969"	"1969"	5	201568206	0.0 (Unreliable)
	"Flexner"	"004.1"	"1970"	"1970"	2	203458035	0.0 (Unreliable)
	"Flexner"	"004.1"	"1971"	"1971"	2	206782970	0.0 (Unreliable)
	"Flexner"	"004.1"	"1972"	"1972"	2	209237411	0.0 (Unreliable)
	"Flexner"	"004.1"	"1973"	"1973"	0	0	0.0 (Unreliable)
	"Flexner"	"004.1"	"1974"	"1974"	1	213436958	0.0 (Unreliable)
	"Flexner"	"004.1"	"1975"	"1975"	2	215457198	0.0 (Unreliable)
	"Flexner"	"004.1"	"1976"	"1976"	1	217615788	0.0 (Unreliable)
	"Flexner"	"004.1"	"1977"	"1977"	1	219808632	0.0 (Unreliable)
	"Flexner"	"004.1"	"1978"	"1978"	1	222102279	0.0 (Unreliable)
"Total"	"Flexner"	"004.1"			20	2320363006	0.0
	"Boyd"	"004.2"	"1968"	"1968"	0	0	0.0 (Unreliable)
	"Boyd"	"004.2"	"1969"	"1969"	0	0	0.0 (Unreliable)
	"Boyd"	"004.2"	"1970"	"1970"	0	0	0.0 (Unreliable)
	"Boyd"	"004.2"	"1971"	"1971"	0	0	0.0 (Unreliable)
	"Boyd"	"004.2"	"1972"	"1972"	0	0	0.0 (Unreliable)
	"Boyd"	"004.2"	"1973"	"1973"	1	211361965	0.0 (Unreliable)
	"Boyd"	"004.2"	"1974"	"1974"	0	0	0.0 (Unreliable)
	"Boyd"	"004.2"	"1975"	"1975"	0	0	0.0 (Unreliable)
	"Boyd"	"004.2"	"1976"	"1976"	0	0	0.0 (Unreliable)
	"Boyd"	"004.2"	"1977"	"1977"	0	0	0.0 (Unreliable)
	"Boyd"	"004.2"	"1978"	"1978"	0	0	0.0 (Unreliable)
"Total"	"Boyd"	"004.2"			1	2320363006	0.0 (Unreliable)
	"Soone"	"004.3"	"1968"	"1968"	3	199533564	0.0 (Unreliable)
	"Soone"	"004.3"	"1969"	"1969"	0	0	0.0 (Unreliable)
	"Soone"	"004.3"	"1970"	"1970"	1	203458035	0.0 (Unreliable)
	"Soone"	"004.3"	"1971"	"1971"	0	0	0.0 (Unreliable)
	"Soone"	"004.3"	"1972"	"1972"	4	209237411	0.0 (Unreliable)
	"Soone"	"004.3"	"1973"	"1973"	4	211361965	0.0 (Unreliable)
	"Soone"	"004.3"	"1974"	"1974"	0	0	0.0 (Unreliable)
	"Soone"	"004.3"	"1975"	"1975"	0	0	0.0 (Unreliable)
	"Soone"	"004.3"	"1976"	"1976"	0	0	0.0 (Unreliable)
	"Soone"	"004.3"	"1977"	"1977"	0	0	0.0 (Unreliable)
	"Soone"	"004.3"	"1978"	"1978"	0	0	0.0 (Unreliable)
"Total"	"Soone"	"004.3"			12	2320363006	0.0 (Unreliable)
	"Schmitz-(Stutzer)"	"004.4"	"1968"	"1968"	0	0	0.0 (Unreliable)
	"Schmitz-(Stutzer)"	"004.4"	"1969"	"1969"	0	0	0.0 (Unreliable)
	"Schmitz-(Stutzer)"	"004.4"	"1970"	"1970"	0	0	0.0 (Unreliable)
	"Schmitz-(Stutzer)"	"004.4"	"1971"	"1971"	0	0	0.0 (Unreliable)
	"Schmitz-(Stutzer)"	"004.4"	"1972"	"1972"	0	0	0.0 (Unreliable)
	"Schmitz-(Stutzer)"	"004.4"	"1973"	"1973"	0	0	0.0 (Unreliable)
	"Schmitz-(Stutzer)"	"004.4"	"1974"	"1974"	0	0	0.0 (Unreliable)
	"Schmitz-(Stutzer)"	"004.4"	"1975"	"1975"	0	0	0.0 (Unreliable)
	"Schmitz-(Stutzer)"	"004.4"	"1976"	"1976"	0	0	0.0 (Unreliable)
	"Schmitz-(Stutzer)"	"004.4"	"1977"	"1977"	0	0	0.0 (Unreliable)
	"Schmitz-(Stutzer)"	"004.4"	"1978"	"1978"	0	0	0.0 (Unreliable)
"Total"	"Schmitz-(Stutzer)"	"004.4"			0	2320363006	0.0 (Unreliable)
	"Other specified bacillary"	"004.8"	"1968"	"1968"	0	0	0.0 (Unreliable)
	"Other specified bacillary"	"004.8"	"1969"	"1969"	0	0	0.0 (Unreliable)
	"Other specified bacillary"	"004.8"	"1970"	"1970"	0	0	0.0 (Unreliable)
	"Other specified bacillary"	"004.8"	"1971"	"1971"	0	0	0.0 (Unreliable)
	"Other specified bacillary"	"004.8"	"1972"	"1972"	0	0	0.0 (Unreliable)
	"Other specified bacillary"	"004.8"	"1973"	"1973"	0	0	0.0 (Unreliable)
	"Other specified bacillary"	"004.8"	"1974"	"1974"	1	213436958	0.0 (Unreliable)
	"Other specified bacillary"	"004.8"	"1975"	"1975"	0	0	0.0 (Unreliable)
	"Other specified bacillary"	"004.8"	"1976"	"1976"	0	0	0.0 (Unreliable)
	"Other specified bacillary"	"004.8"	"1977"	"1977"	0	0	0.0 (Unreliable)
	"Other specified bacillary"	"004.8"	"1978"	"1978"	0	0	0.0 (Unreliable)
"Total"	"Other specified bacillary"	"004.8"			1	2320363006	0.0 (Unreliable)
	"Unspecified"	"004.9"	"1968"	"1968"	54	199533564	0.0
	"Unspecified"	"004.9"	"1969"	"1969"	31	201568206	0.0
	"Unspecified"	"004.9"	"1970"	"1970"	27	203458035	0.0
	"Unspecified"	"004.9"	"1971"	"1971"	22	206782970	0.0
	"Unspecified"	"004.9"	"1972"	"1972"	32	209237411	0.0
	"Unspecified"	"004.9"	"1973"	"1973"	28	211361965	0.0
	"Unspecified"	"004.9"	"1974"	"1974"	30	213436958	0.0
	"Unspecified"	"004.9"	"1975"	"1975"	25	215457198	0.0
	"Unspecified"	"004.9"	"1976"	"1976"	18	217615788	0.0 (Unreliable)
	"Unspecified"	"004.9"	"1977"	"1977"	24	219808632	0.0
	"Unspecified"	"004.9"	"1978"	"1978"	19	222102279	0.0 (Unreliable)
"Total"	"Unspecified"	"004.9"			310	2320363006	0.0
	"Staphylococcal"	"005.0"	"1968"	"1968"	3	199533564	0.0 (Unreliable)
	"Staphylococcal"	"005.0"	"1969"	"1969"	0	0	0.0 (Unreliable)
	"Staphylococcal"	"005.0"	"1970"	"1970"	0	0	0.0 (Unreliable)
	"Staphylococcal"	"005.0"	"1971"	"1971"	0	0	0.0 (Unreliable)
	"Staphylococcal"	"005.0"	"1972"	"1972"	2	209237411	0.0 (Unreliable)
	"Staphylococcal"	"005.0"	"1973"	"1973"	1	211361965	0.0 (Unreliable)
	"Staphylococcal"	"005.0"	"1974"	"1974"	1	213436958	0.0 (Unreliable)
	"Staphylococcal"	"005.0"	"1975"	"1975"	0	0	0.0 (Unreliable)
	"Staphylococcal"	"005.0"	"1976"	"1976"	1	217615788	0.0 (Unreliable)
	"Staphylococcal"	"005.0"	"1977"	"1977"	1	219808632	0.0 (Unreliable)
	"Staphylococcal"	"005.0"	"1978"	"1978"	1	222102279	0.0 (Unreliable)
"Total"	"Staphylococcal"	"005.0"			10	2320363006	0.0 (Unreliable)
	"Botulism"	"005.1"	"1968"	"1968"	2	199533564	0.0 (Unreliable)
	"Botulism"	"005.1"	"1969"	"1969"	4	201568206	0.0 (Unreliable)
	"Botulism"	"005.1"	"1970"	"1970"	7	203458035	0.0 (Unreliable)
	"Botulism"	"005.1"	"1971"	"1971"	7	206782970	0.0 (Unreliable)
	"Botulism"	"005.1"	"1972"	"1972"	6	209237411	0.0 (Unreliable)
	"Botulism"	"005.1"	"1973"	"1973"	6	211361965	0.0 (Unreliable)
	"Botulism"	"005.1"	"1974"	"1974"	6	213436958	0.0 (Unreliable)
	"Botulism"	"005.1"	"1975"	"1975"	3	215457198	0.0 (Unreliable)
	"Botulism"	"005.1"	"1976"	"1976"	3	217615788	0.0 (Unreliable)
	"Botulism"	"005.1"	"1977"	"1977"	6	219808632	0.0 (Unreliable)
	"Botulism"	"005.1"	"1978"	"1978"	5	222102279	0.0 (Unreliable)
"Total"	"Botulism"	"005.1"			55	2320363006	0.0
	"Due to other clostridia"	"005.2"	"1968"	"1968"	0	0	0.0 (Unreliable)
	"Due to other clostridia"	"005.2"	"1969"	"1969"	0	0	0.0 (Unreliable)
	"Due to other clostridia"	"005.2"	"1970"	"1970"	2	203458035	0.0 (Unreliable)
	"Due to other clostridia"	"005.2"	"1971"	"1971"	0	0	0.0 (Unreliable)
	"Due to other clostridia"	"005.2"	"1972"	"1972"	0	0	0.0 (Unreliable)
	"Due to other clostridia"	"005.2"	"1973"	"1973"	1	211361965	0.0 (Unreliable)
	"Due to other clostridia"	"005.2"	"1974"	"1974"	0	0	0.0 (Unreliable)
	"Due to other clostridia"	"005.2"	"1975"	"1975"	0	0	0.0 (Unreliable)
	"Due to other clostridia"	"005.2"	"1976"	"1976"	0	0	0.0 (Unreliable)
	"Due to other clostridia"	"005.2"	"1977"	"1977"	1	219808632	0.0 (Unreliable)
	"Due to other clostridia"	"005.2"	"1978"	"1978"	1	222102279	0.0 (Unreliable)
"Total"	"Due to other clostridia"	"005.2"			5	2320363006	0.0 (Unreliable)
	"Other specified bacterial food poisoning"	"005.8"	"1968"	"1968"	0	0	0.0 (Unreliable)
	"Other specified bacterial food poisoning"	"005.8"	"1969"	"1969"	0	0	0.0 (Unreliable)
	"Other specified bacterial food poisoning"	"005.8"	"1970"	"1970"	0	0	0.0 (Unreliable)
	"Other specified bacterial food poisoning"	"005.8"	"1971"	"1971"	0	0	0.0 (Unreliable)
	"Other specified bacterial food poisoning"	"005.8"	"1972"	"1972"	0	0	0.0 (Unreliable)
	"Other specified bacterial food poisoning"	"005.8"	"1973"	"1973"	0	0	0.0 (Unreliable)
	"Other specified bacterial food poisoning"	"005.8"	"1974"	"1974"	0	0	0.0 (Unreliable)
	"Other specified bacterial food poisoning"	"005.8"	"1975"	"1975"	0	0	0.0 (Unreliable)
	"Other specified bacterial food poisoning"	"005.8"	"1976"	"1976"	0	0	0.0 (Unreliable)
	"Other specified bacterial food poisoning"	"005.8"	"1977"	"1977"	0	0	0.0 (Unreliable)
	"Other specified bacterial food poisoning"	"005.8"	"1978"	"1978"	0	0	0.0 (Unreliable)
"Total"	"Other specified bacterial food poisoning"	"005.8"			0	2320363006	0.0 (Unreliable)
	"Food poisoning, unspecified"	"005.9"	"1968"	"1968"	5	199533564	0.0 (Unreliable)
	"Food poisoning, unspecified"	"005.9"	"1969"	"1969"	13	201568206	0.0 (Unreliable)
	"Food poisoning, unspecified"	"005.9"	"1970"	"1970"	10	203458035	0.0 (Unreliable)
	"Food poisoning, unspecified"	"005.9"	"1971"	"1971"	6	206782970	0.0 (Unreliable)
	"Food poisoning, unspecified"	"005.9"	"1972"	"1972"	6	209237411	0.0 (Unreliable)
	"Food poisoning, unspecified"	"005.9"	"1973"	"1973"	3	211361965	0.0 (Unreliable)
	"Food poisoning, unspecified"	"005.9"	"1974"	"1974"	3	213436958	0.0 (Unreliable)
	"Food poisoning, unspecified"	"005.9"	"1975"	"1975"	12	215457198	0.0 (Unreliable)
	"Food poisoning, unspecified"	"005.9"	"1976"	"1976"	7	217615788	0.0 (Unreliable)
	"Food poisoning, unspecified"	"005.9"	"1977"	"1977"	1	219808632	0.0 (Unreliable)
	"Food poisoning, unspecified"	"005.9"	"1978"	"1978"	8	222102279	0.0 (Unreliable)
"Total"	"Food poisoning, unspecified"	"005.9"			74	2320363006	0.0
	"With liver abscess"	"006.0"	"1968"	"1968"	22	199533564	0.0
	"With liver abscess"	"006.0"	"1969"	"1969"	19	201568206	0.0 (Unreliable)
	"With liver abscess"	"006.0"	"1970"	"1970"	22	203458035	0.0
	"With liver abscess"	"006.0"	"1971"	"1971"	20	206782970	0.0
	"With liver abscess"	"006.0"	"1972"	"1972"	26	209237411	0.0
	"With liver abscess"	"006.0"	"1973"	"1973"	9	211361965	0.0 (Unreliable)
	"With liver abscess"	"006.0"	"1974"	"1974"	8	213436958	0.0 (Unreliable)
	"With liver abscess"	"006.0"	"1975"	"1975"	11	215457198	0.0 (Unreliable)
	"With liver abscess"	"006.0"	"1976"	"1976"	12	217615788	0.0 (Unreliable)
	"With liver abscess"	"006.0"	"1977"	"1977"	7	219808632	0.0 (Unreliable)
	"With liver abscess"	"006.0"	"1978"	"1978"	7	222102279	0.0 (Unreliable)
"Total"	"With liver abscess"	"006.0"			163	2320363006	0.0
	"Without mention of liver abscess"	"006.9"	"1968"	"1968"	29	199533564	0.0
	"Without mention of liver abscess"	"006.9"	"1969"	"1969"	39	201568206	0.0
	"Without mention of liver abscess"	"006.9"	"1970"	"1970"	37	203458035	0.0
	"Without mention of liver abscess"	"006.9"	"1971"	"1971"	40	206782970	0.0
	"Without mention of liver abscess"	"006.9"	"1972"	"1972"	26	209237411	0.0
	"Without mention of liver abscess"	"006.9"	"1973"	"1973"	22	211361965	0.0
	"Without mention of liver abscess"	"006.9"	"1974"	"1974"	17	213436958	0.0 (Unreliable)
	"Without mention of liver abscess"	"006.9"	"1975"	"1975"	24	215457198	0.0
	"Without mention of liver abscess"	"006.9"	"1976"	"1976"	24	217615788	0.0
	"Without mention of liver abscess"	"006.9"	"1977"	"1977"	21	219808632	0.0
	"Without mention of liver abscess"	"006.9"	"1978"	"1978"	7	222102279	0.0 (Unreliable)
"Total"	"Without mention of liver abscess"	"006.9"			286	2320363006	0.0
	"Balantidiasis"	"007.0"	"1968"	"1968"	0	0	0.0 (Unreliable)
	"Balantidiasis"	"007.0"	"1969"	"1969"	0	0	0.0 (Unreliable)
	"Balantidiasis"	"007.0"	"1970"	"1970"	0	0	0.0 (Unreliable)
	"Balantidiasis"	"007.0"	"1971"	"1971"	0	0	0.0 (Unreliable)
	"Balantidiasis"	"007.0"	"1972"	"1972"	0	0	0.0 (Unreliable)
	"Balantidiasis"	"007.0"	"1973"	"1973"	0	0	0.0 (Unreliable)
	"Balantidiasis"	"007.0"	"1974"	"1974"	0	0	0.0 (Unreliable)
	"Balantidiasis"	"007.0"	"1975"	"1975"	0	0	0.0 (Unreliable)
	"Balantidiasis"	"007.0"	"1976"	"1976"	0	0	0.0 (Unreliable)
	"Balantidiasis"	"007.0"	"1977"	"1977"	0	0	0.0 (Unreliable)
	"Balantidiasis"	"007.0"	"1978"	"1978"	0	0	0.0 (Unreliable)
"Total"	"Balantidiasis"	"007.0"			0	2320363006	0.0 (Unreliable)
	"Giardiasis"	"007.1"	"1968"	"1968"	0	0	0.0 (Unreliable)
	"Giardiasis"	"007.1"	"1969"	"1969"	0	0	0.0 (Unreliable)
	"Giardiasis"	"007.1"	"1970"	"1970"	0	0	0.0 (Unreliable)
	"Giardiasis"	"007.1"	"1971"	"1971"	1	206782970	0.0 (Unreliable)
	"Giardiasis"	"007.1"	"1972"	"1972"	0	0	0.0 (Unreliable)
	"Giardiasis"	"007.1"	"1973"	"1973"	0	0	0.0 (Unreliable)
	"Giardiasis"	"007.1"	"1974"	"1974"	1	213436958	0.0 (Unreliable)
	"Giardiasis"	"007.1"	"1975"	"1975"	0	0	0.0 (Unreliable)
	"Giardiasis"	"007.1"	"1976"	"1976"	1	217615788	0.0 (Unreliable)
	"Giardiasis"	"007.1"	"1977"	"1977"	0	0	0.0 (Unreliable)
	"Giardiasis"	"007.1"	"1978"	"1978"	0	0	0.0 (Unreliable)
"Total"	"Giardiasis"	"007.1"			3	2320363006	0.0 (Unreliable)
	"Coccidiosis"	"007.2"	"1968"	"1968"	0	0	0.0 (Unreliable)
	"Coccidiosis"	"007.2"	"1969"	"1969"	0	0	0.0 (Unreliable)
	"Coccidiosis"	"007.2"	"1970"	"1970"	0	0	0.0 (Unreliable)
	"Coccidiosis"	"007.2"	"1971"	"1971"	0	0	0.0 (Unreliable)
	"Coccidiosis"	"007.2"	"1972"	"1972"	0	0	0.0 (Unreliable)
	"Coccidiosis"	"007.2"	"1973"	"1973"	0	0	0.0 (Unreliable)
	"Coccidiosis"	"007.2"	"1974"	"1974"	0	0	0.0 (Unreliable)
	"Coccidiosis"	"007.2"	"1975"	"1975"	0	0	0.0 (Unreliable)
	"Coccidiosis"	"007.2"	"1976"	"1976"	0	0	0.0 (Unreliable)
	"Coccidiosis"	"007.2"	"1977"	"1977"	0	0	0.0 (Unreliable)
	"Coccidiosis"	"007.2"	"1978"	"1978"	0	0	0.0 (Unreliable)
"Total"	"Coccidiosis"	"007.2"			0	2320363006	0.0 (Unreliable)
